Nama_Ruas,Kecamatan,Panjang,Lebar,Kondisi,15 April,15,16 April,16,17 April,17,18 April,18,19 April,19,20 April,20,21 April,21,22 April,22,23 April,23,24 April,24,25 April,25,26 April,26,27 April,27,28 April,28,29 April,29
Jl. Bukit Umbul,banyumanik,413 M,3 M,Baik,lancar,9 Menit,lancar,8 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit,sedang,8 Menit,sedang,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit,lancar,8 Menit,lancar,7 Menit
Jl. Jangli Boulevard,banyumanik,185 M,3 M,Sedang,lancar,8 Menit,lancar,7 Menit,sedang,8 Menit,sedang,8 Menit,sedang,8 Menit,sedang,7 Menit,sedang,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit
Jl. Sapta Marga,banyumanik,447 M,4 M,Baik,lancar,7 Menit,lancar,7 Menit,sedang,7 Menit,sedang,7 Menit,sedang,7 Menit,sedang,7 Menit,lancar,7 Menit,sedang,7 Menit,lancar,7 Menit,sedang,7 Menit,sedang,18 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit
Jl. Merbau,banyumanik,611 M,6 M,Baik,sedang,18 Menit,lancar,16 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,lancar,14 Menit
Jl. Tusam Timur,banyumanik,551 M,4 M,Sedang,sedang,14 Menit,lancar,14 Menit,sedang,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,15 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,16 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,lancar,14 Menit
Jl. Waru,banyumanik,236 M,3 M,Sedang,sedang,14 Menit,lancar,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,15 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,macet,14 Menit,macet,14 Menit,sedang,12 Menit,macet,14 Menit,sedang,12 Menit
Jl. Tirto Agung,banyumanik,"1,318 M",10 M,Baik,sedang,12 Menit,lancar,12 Menit,macet,14 Menit,macet,14 Menit,macet,14 Menit,macet,14 Menit,macet,13 Menit,macet,13 Menit,macet,13 Menit,macet,13 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,lancar,16 Menit
Jl. Kanfer,banyumanik,612 M,7 M,Baik,sedang,16 Menit,lancar,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,macet,14 Menit,macet,14 Menit,sedang,14 Menit,macet,14 Menit,sedang,12 Menit
Jl. Banjarsari Selatan,banyumanik,676 M,5 M,Sedang,macet,14 Menit,sedang,12 Menit,macet,14 Menit,macet,14 Menit,macet,14 Menit,macet,15 Menit,macet,15 Menit,macet,15 Menit,macet,15 Menit,macet,15 Menit,sedang,16 Menit,sedang,16 Menit,sedang,14 Menit,sedang,16 Menit,lancar,14 Menit
Jl. Tusam,banyumanik,719 M,6 M,Sedang,sedang,16 Menit,lancar,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,15 Menit,sedang,14 Menit,sedang,15 Menit,sedang,14 Menit,sedang,14 Menit,macet,12 Menit,macet,12 Menit,sedang,12 Menit,macet,12 Menit,sedang,12 Menit
